@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
5396,'2020/10/21 20:53:57:272',7,0,42,325,1,22,1,0,0,0,0
5397,'2020/10/21 20:53:57:272',7,0,42,325,1,22,1,0,0,0,0
5398,'2020/10/21 20:53:57:272',7,0,42,325,1,22,1,0,0,0,0
5399,'2020/10/21 20:53:57:272',7,0,41,325,1,22,1,0,0,0,0
5400,'2020/10/21 20:53:57:272',7,2,41,325,1,22,1,0,0,0,0
5401,'2020/10/21 20:53:57:364',7,2,41,325,1,22,1,0,0,0,0
5402,'2020/10/21 20:53:57:365',7,2,41,325,1,22,1,0,0,0,0
5403,'2020/10/21 20:53:57:365',7,2,41,325,2,22,1,0,0,0,0
5404,'2020/10/21 20:53:57:365',7,2,41,326,2,22,1,0,0,0,0
5405,'2020/10/21 20:53:57:365',7,2,41,326,2,22,1,0,0,0,0
5406,'2020/10/21 20:53:57:365',7,2,41,326,2,22,1,0,0,0,0
5407,'2020/10/21 20:53:57:469',7,2,41,326,2,22,1,0,0,0,0
5408,'2020/10/21 20:53:57:470',7,2,41,326,2,21,1,0,0,0,0
5409,'2020/10/21 20:53:57:470',7,2,41,326,1,21,1,0,0,0,0
5410,'2020/10/21 20:53:57:470',7,2,41,314,1,21,1,0,0,0,0
5411,'2020/10/21 20:53:57:470',7,2,41,314,1,21,1,0,0,0,0
5412,'2020/10/21 20:53:57:470',7,1,41,314,1,21,1,0,0,0,0
5413,'2020/10/21 20:53:57:573',7,1,41,314,1,21,0,0,0,0,0
5414,'2020/10/21 20:53:57:574',7,1,41,314,1,23,0,0,0,0,0
5415,'2020/10/21 20:53:57:574',7,1,41,314,0,23,0,0,0,0,0
5416,'2020/10/21 20:53:57:574',7,1,41,319,0,23,0,0,0,0,0
5417,'2020/10/21 20:53:57:575',7,1,41,319,0,23,0,0,0,0,0
5418,'2020/10/21 20:53:57:575',7,0,41,319,0,23,0,0,0,0,0
5419,'2020/10/21 20:53:57:678',7,0,41,319,0,23,0,0,0,0,0
5420,'2020/10/21 20:53:57:678',7,0,41,319,0,22,0,0,0,0,0
5421,'2020/10/21 20:53:57:678',7,0,41,319,1,22,0,0,0,0,0
5422,'2020/10/21 20:53:57:678',7,0,41,317,1,22,0,0,0,0,0
5423,'2020/10/21 20:53:57:678',7,0,42,317,1,22,0,0,0,0,0
5424,'2020/10/21 20:53:57:678',7,0,42,317,1,22,0,0,0,0,0
5425,'2020/10/21 20:53:57:771',7,0,42,317,1,22,0,0,0,0,0
5426,'2020/10/21 20:53:57:771',7,0,42,317,1,23,0,0,0,0,0
5427,'2020/10/21 20:53:57:771',7,0,42,317,0,23,0,0,0,0,0
5428,'2020/10/21 20:53:57:771',7,0,42,330,0,23,0,0,0,0,0
5429,'2020/10/21 20:53:57:771',7,0,44,330,0,23,0,0,0,0,0
5430,'2020/10/21 20:53:57:771',7,1,44,330,0,23,0,0,0,0,0
5431,'2020/10/21 20:53:57:876',7,1,44,330,0,23,0,0,0,0,0
5432,'2020/10/21 20:53:57:876',7,1,44,330,0,22,0,0,0,0,0
5433,'2020/10/21 20:53:57:876',7,1,44,330,1,22,0,0,0,0,0
5434,'2020/10/21 20:53:57:876',7,1,44,318,1,22,0,0,0,0,0
5435,'2020/10/21 20:53:57:876',7,1,42,318,1,22,0,0,0,0,0
5436,'2020/10/21 20:53:57:877',7,0,42,318,1,22,0,0,0,0,0
5437,'2020/10/21 20:53:57:980',7,0,42,318,1,22,0,0,0,0,0
5438,'2020/10/21 20:53:57:980',7,0,42,318,1,22,0,0,0,0,0
5439,'2020/10/21 20:53:57:980',7,0,42,318,2,22,0,0,0,0,0
5440,'2020/10/21 20:53:57:980',7,0,42,310,2,22,0,0,0,0,0
5441,'2020/10/21 20:53:57:980',7,0,41,310,2,22,0,0,0,0,0
5442,'2020/10/21 20:53:57:980',7,1,41,310,2,22,0,0,0,0,0
5443,'2020/10/21 20:53:58:073',7,1,41,310,2,22,0,0,0,0,0
5444,'2020/10/21 20:53:58:073',7,1,41,310,2,17,0,0,0,0,0
5445,'2020/10/21 20:53:58:073',7,1,41,310,2,17,0,0,0,0,0
5446,'2020/10/21 20:53:58:073',7,1,41,320,2,17,0,0,0,0,0
5447,'2020/10/21 20:53:58:073',7,1,41,320,2,17,0,0,0,0,0
5448,'2020/10/21 20:53:58:073',7,0,41,320,2,17,0,0,0,0,0
5449,'2020/10/21 20:53:58:177',7,0,41,320,2,17,0,0,0,0,0
5450,'2020/10/21 20:53:58:177',7,0,41,320,2,3,0,0,0,0,0
5451,'2020/10/21 20:53:58:177',7,0,41,320,0,3,0,0,0,0,0
5452,'2020/10/21 20:53:58:177',7,0,41,319,0,3,0,0,0,0,0
5453,'2020/10/21 20:53:58:177',7,0,42,319,0,3,0,0,0,0,0
5454,'2020/10/21 20:53:58:177',7,0,42,319,0,3,0,0,0,0,0
5455,'2020/10/21 20:53:58:282',7,0,42,319,0,3,0,0,0,0,0
5456,'2020/10/21 20:53:58:282',7,0,42,319,0,18,0,0,0,0,0
5457,'2020/10/21 20:53:58:282',7,0,42,319,1,18,0,0,0,0,0
5458,'2020/10/21 20:53:58:282',7,0,42,313,1,18,0,0,0,0,0
5459,'2020/10/21 20:53:58:282',7,0,41,313,1,18,0,0,0,0,0
5460,'2020/10/21 20:53:58:282',7,0,41,313,1,18,0,0,0,0,0
5461,'2020/10/21 20:53:58:375',7,0,41,313,1,18,0,0,0,0,0
5462,'2020/10/21 20:53:58:375',7,0,41,313,1,13,0,0,0,0,0
5463,'2020/10/21 20:53:58:375',7,0,41,313,1,13,0,0,0,0,0
5464,'2020/10/21 20:53:58:375',7,0,41,319,1,13,0,0,0,0,0
5465,'2020/10/21 20:53:58:375',7,0,41,319,1,13,0,0,0,0,0
5466,'2020/10/21 20:53:58:375',7,1,41,319,1,13,0,0,0,0,0
5467,'2020/10/21 20:53:58:479',7,1,41,319,1,13,0,30,0,0,0
5468,'2020/10/21 20:53:58:479',7,1,41,319,1,23,0,30,0,0,0
5469,'2020/10/21 20:53:58:479',7,1,41,319,1,23,0,30,0,0,0
5470,'2020/10/21 20:53:58:479',7,1,41,312,1,23,0,30,0,0,0
5471,'2020/10/21 20:53:58:479',7,1,43,312,1,23,0,30,0,0,0
