@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}

@data
89,'2020/10/01 16:47:05:838',1,0,0,0,0,0,0,1
90,'2020/10/01 16:47:05:838',1,0,0,0,0,0,0,1
91,'2020/10/01 16:47:05:931',1,0,0,0,0,0,0,1
92,'2020/10/01 16:47:05:931',1,0,0,0,0,0,0,1
93,'2020/10/01 16:47:05:931',1,0,0,0,0,0,0,1
94,'2020/10/01 16:47:05:931',1,0,0,0,0,0,0,1
95,'2020/10/01 16:47:05:931',1,0,0,0,0,0,0,1
96,'2020/10/01 16:47:05:931',1,0,0,0,0,0,0,1
97,'2020/10/01 16:47:06:035',1,0,0,0,0,0,0,1
98,'2020/10/01 16:47:06:035',1,0,0,0,0,0,0,1
99,'2020/10/01 16:47:06:035',1,0,0,0,0,0,0,1
100,'2020/10/01 16:47:06:035',1,0,0,0,0,0,0,1
101,'2020/10/01 16:47:06:035',1,0,0,0,0,0,0,1
102,'2020/10/01 16:47:06:035',1,0,0,0,0,0,0,1
103,'2020/10/01 16:47:06:141',1,0,0,0,0,0,0,1
104,'2020/10/01 16:47:06:141',1,0,0,0,0,0,0,1
105,'2020/10/01 16:47:06:141',1,0,0,0,0,0,0,1
106,'2020/10/01 16:47:06:141',1,0,0,0,0,0,0,1
107,'2020/10/01 16:47:06:141',1,0,0,0,0,0,0,1
108,'2020/10/01 16:47:06:141',1,0,0,0,0,0,0,1
109,'2020/10/01 16:47:06:233',1,0,0,0,0,0,0,1
110,'2020/10/01 16:47:06:233',1,0,0,0,0,0,0,1
111,'2020/10/01 16:47:06:233',1,0,0,0,0,0,0,1
112,'2020/10/01 16:47:06:233',1,0,0,0,0,0,0,1
113,'2020/10/01 16:47:06:233',1,0,0,0,0,0,0,1
114,'2020/10/01 16:47:06:233',1,0,0,0,0,0,0,1
115,'2020/10/01 16:47:06:337',1,0,0,0,0,0,0,1
116,'2020/10/01 16:47:06:337',1,0,0,0,0,0,0,1
117,'2020/10/01 16:47:06:337',1,0,0,0,0,0,0,1
118,'2020/10/01 16:47:06:337',1,0,0,0,0,0,0,1
